Timestamp,Date,"Avg Rate (%/day)","Total Amount Active Swaps (BFX)",Used,Unused
1491255000,"2017-04-03 21:30:00",0,0,0,0
1491251400,"2017-04-03 20:30:00",0.00368,86945.02084,0,86945.02084
1491247800,"2017-04-03 19:30:00",0.01147,842541.78308,758440.41037,84101.37271
1491244200,"2017-04-03 18:30:00",0.01381,795894.77446,783964.19292,11930.58154
1491240600,"2017-04-03 17:30:00",0.01381,795898.62679,783960.767,11937.85979
1491237000,"2017-04-03 16:30:00",0.01379,795218.01579,783272.87806,11945.13774
1491233400,"2017-04-03 15:30:00",0.01378,795215.52951,783269.65247,11945.87704
1491229800,"2017-04-03 14:30:00",0.01397,789686.4858,783266.41513,6420.07067
1491226200,"2017-04-03 13:30:00",0.01341,781878.8148,775458.74412,6420.07067
1491222600,"2017-04-03 12:30:00",0.01649,788628.53862,774454.827,14173.71162
1491219000,"2017-04-03 11:30:00",0.04625,788615.68946,774441.97784,14173.71162
1491215400,"2017-04-03 10:30:00",0.04583,794734.72606,774429.16911,20305.55695
1491211800,"2017-04-03 09:30:00",0.04317,820924.59016,802993.30529,17931.28487
1491208200,"2017-04-03 08:30:00",0.04308,821927.50076,803996.21589,17931.28487
1491204600,"2017-04-03 07:30:00",0.04324,897866.55017,878902.94433,18963.60584
1491201000,"2017-04-03 06:30:00",0.04323,897905.09472,878887.9609,19017.13382
1491197400,"2017-04-03 05:30:00",0.04328,897896.13684,878848.61419,19047.52265
1491193800,"2017-04-03 04:30:00",0.04327,897887.88651,878770.73061,19117.1559
1491190200,"2017-04-03 03:30:00",0.04331,897987.37323,878865.12436,19122.24887
1491186600,"2017-04-03 02:30:00",0.04334,898019.56122,878892.21805,19127.34318
1491183000,"2017-04-03 01:30:00",0.04334,898010.71715,878878.27833,19132.43881
1491179400,"2017-04-03 00:30:00",0.04334,897990.11223,878852.5777,19137.53453
1491175800,"2017-04-02 23:30:00",0.04554,899145.57128,878838.45486,20307.11641
1491172200,"2017-04-02 22:30:00",0.04557,899131.45909,878824.34268,20307.11641
1491168600,"2017-04-02 21:30:00",0.04557,899117.23142,878810.11501,20307.11641
1491165000,"2017-04-02 20:30:00",0.04557,899320.76147,879013.64505,20307.11641
1491161400,"2017-04-02 19:30:00",0.0456,900122.1063,879179.59326,20942.51304
1491157800,"2017-04-02 18:30:00",0.05361,899582.91935,879787.65407,19795.26527
1491154200,"2017-04-02 17:30:00",0.05361,899566.04721,879770.78194,19795.26527
1491150600,"2017-04-02 16:30:00",0.0536,899549.17843,879753.91316,19795.26527
1491147000,"2017-04-02 15:30:00",0.0546,899874.14108,879736.99611,20137.14497
1491143400,"2017-04-02 14:30:00",0.0546,899860.28551,879719.66573,20140.61978
1491139800,"2017-04-02 13:30:00",0.05562,899966.52784,879822.43257,20144.09527
1491136200,"2017-04-02 12:30:00",0.05592,901798.96332,879804.85667,21994.10665
1491132600,"2017-04-02 11:30:00",0.05592,901689.30214,879691.68412,21997.61802
1491129000,"2017-04-02 10:30:00",0.05589,902834.64155,879769.51223,23065.12931
1491125400,"2017-04-02 09:30:00",0.0559,902873.53005,879804.89016,23068.63989
1491121800,"2017-04-02 08:30:00",0.05591,902860.42213,879788.27135,23072.15078
1491118200,"2017-04-02 07:30:00",0.0559,902846.28777,879770.62612,23075.66165
1491114600,"2017-04-02 06:30:00",0.05586,902832.35914,879753.02323,23079.33591
1491111000,"2017-04-02 05:30:00",0.05608,902818.05449,879735.20292,23082.85157
1491107400,"2017-04-02 04:30:00",0.05608,902803.78465,879717.41741,23086.36725
1491103800,"2017-04-02 03:30:00",0.05608,902789.62329,879699.74036,23089.88293
1491100200,"2017-04-02 02:30:00",0.05608,902775.46143,879682.06275,23093.39868
1491096600,"2017-04-02 01:30:00",0.05607,902761.29979,879664.38534,23096.91445
1491093000,"2017-04-02 00:30:00",0.05607,902734.6132,879634.18336,23100.42984
1491089400,"2017-04-01 23:30:00",0.05607,902720.45532,879614.90629,23105.54903
1491085800,"2017-04-01 22:30:00",0.05607,902706.29955,879597.23518,23109.06437
1491082200,"2017-04-01 21:30:00",0.05606,902692.02904,879579.44939,23112.57966
1491078600,"2017-04-01 20:30:00",0.05643,900418.08763,879974.90202,20443.18561
1491075000,"2017-04-01 19:30:00",0.05643,900403.89025,879957.1792,20446.71104
1491071400,"2017-04-01 18:30:00",0.05622,892984.13298,879939.45625,13044.67674
1491067800,"2017-04-01 17:30:00",0.05622,892969.96083,879921.76451,13048.19632
1491064200,"2017-04-01 16:30:00",0.06241,911858.94742,898901.67139,12957.27604
1491060600,"2017-04-01 15:30:00",0.06234,913044.79373,899083.82665,13960.96708
1491057000,"2017-04-01 14:30:00",0.06223,913028.13232,899063.47862,13964.6537
1491053400,"2017-04-01 13:30:00",0.06348,913007.49123,899039.15099,13968.34024
1491049800,"2017-04-01 12:30:00",0.06299,920102.2378,902353.32079,17748.91701
1491046200,"2017-04-01 11:30:00",0.06298,920085.61819,902332.7074,17752.91079
1491042600,"2017-04-01 10:30:00",0.06268,923072.44918,902312.0936,20760.35558
1491039000,"2017-04-01 09:30:00",0.06258,925127.5599,907673.96292,17453.59699
1491035400,"2017-04-01 08:30:00",0.06256,925186.23341,907728.94037,17457.29304
1491031800,"2017-04-01 07:30:00",0.06251,926643.16459,910047.92935,16595.23524
1491028200,"2017-04-01 06:30:00",0.06137,923502.4856,911575.79865,11926.68695
1491024600,"2017-04-01 05:30:00",0.06191,923477.78127,912292.70188,11185.07939
1491021000,"2017-04-01 04:30:00",0.06239,923448.40861,912271.41947,11176.98915
1491017400,"2017-04-01 03:30:00",0.06188,920284.0642,912250.98718,8033.07702
1491013800,"2017-04-01 02:30:00",0.06188,920263.78335,912230.70632,8033.07702
1491010200,"2017-04-01 01:30:00",0.06188,920243.35211,912210.27509,8033.07702
1491006600,"2017-04-01 00:30:00",0.06188,920211.63516,912178.55813,8033.07702
1491003000,"2017-03-31 23:30:00",0.06232,920568.47303,912535.39601,8033.07702
1490999400,"2017-03-31 22:30:00",0.06308,916564.38239,908531.30537,8033.07702
1490995800,"2017-03-31 21:30:00",0.06347,917626.43826,909593.36123,8033.07702
1490992200,"2017-03-31 20:30:00",0.05616,917605.00747,909571.93045,8033.07702
1490988600,"2017-03-31 19:30:00",0.0572,923289.6673,915256.59027,8033.07702
1490985000,"2017-03-31 18:30:00",0.0516,908537.00349,900503.92647,8033.07702
1490981400,"2017-03-31 17:30:00",0.05016,923309.10581,915276.02878,8033.07702
1490977800,"2017-03-31 16:30:00",0.04701,923292.20504,915259.12801,8033.07702
1490974200,"2017-03-31 15:30:00",0.03719,923783.13492,915243.53689,8539.59803
1490970600,"2017-03-31 14:30:00",0.03685,923481.16596,914940.39747,8540.76848
1490967000,"2017-03-31 13:30:00",0.03504,923468.74044,914926.9182,8541.82225
1490963400,"2017-03-31 12:30:00",0.03489,925789.28469,915509.84861,10279.43608
1490959800,"2017-03-31 11:30:00",0.03489,925777.58384,915498.14776,10279.43608
1490956200,"2017-03-31 10:30:00",0.03596,926350.89399,915629.69086,10721.20313
1490952600,"2017-03-31 09:30:00",0.03577,926154.9904,919621.70463,6533.28577
1490949000,"2017-03-31 08:30:00",0.03857,936465.59514,931494.7945,4970.80065
1490945400,"2017-03-31 07:30:00",0.03853,936448.07906,931477.27841,4970.80065
1490941800,"2017-03-31 06:30:00",0.03916,939140.73477,933456.93477,5683.8
1490938200,"2017-03-31 05:30:00",0.04019,941837.11922,936153.31922,5683.8
1490934600,"2017-03-31 04:30:00",0.04018,941823.31154,936139.51154,5683.8
1490931000,"2017-03-31 03:30:00",0.04018,941809.35504,936125.55504,5683.8
1490927400,"2017-03-31 02:30:00",0.04014,941795.51826,936111.71826,5683.8
1490923800,"2017-03-31 01:30:00",0.04013,941781.57095,936097.77095,5683.8
1490920200,"2017-03-31 00:30:00",0.04012,941764.3253,936080.5253,5683.8
1490916600,"2017-03-30 23:30:00",0.04012,941750.38299,936066.58299,5683.8
1490913000,"2017-03-30 22:30:00",0.04008,938894.69798,936052.79798,2841.9
1490909400,"2017-03-30 21:30:00",0.04004,936038.8548,936038.8548,0
1490905800,"2017-03-30 20:30:00",0.04017,936015.77909,936015.77909,0
1490902200,"2017-03-30 19:30:00",0.03579,935592.17421,935592.17421,0
1490898600,"2017-03-30 18:30:00",0.03438,935989.57071,935989.57071,0
1490895000,"2017-03-30 17:30:00",0.03103,935977.73122,935977.73122,0
1490891400,"2017-03-30 16:30:00",0.03049,935967.08951,935967.08951,0
1490887800,"2017-03-30 15:30:00",0.0041,935956.4253,935956.4253,0
1490884200,"2017-03-30 14:30:00",0.00356,935955.46216,935955.46216,0
1490880600,"2017-03-30 13:30:00",0.0033,935957.21217,935954.32133,2.89084
1490877000,"2017-03-30 12:30:00",0.0033,935956.26075,935953.36991,2.89084
1490873400,"2017-03-30 11:30:00",0.00328,935885.50469,935882.61385,2.89084
