Timestamp,Date,"Avg Rate (%/day)","Total Amount Active Swaps (ETH)",Used,Unused
1518206701,"2018-02-09 20:05:01",0.03899,161121.12499,159509.83043,1611.29456
1518203102,"2018-02-09 19:05:02",0.03929,160862.91584,159250.56342,1612.35242
1518199501,"2018-02-09 18:05:01",0.04029,160935.39376,158818.40203,2116.99173
1518195901,"2018-02-09 17:05:01",0.04049,160863.57133,158554.56028,2309.01106
1518192301,"2018-02-09 16:05:01",0.04055,160361.35125,158780.90889,1580.44237
1518188700,"2018-02-09 15:05:00",0.04047,161054.82458,159474.38221,1580.44237
1518185100,"2018-02-09 14:05:00",0.04198,157539.32748,155987.27846,1552.04902
1518181501,"2018-02-09 13:05:01",0.04212,157523.72073,155971.67171,1552.04902
1518177900,"2018-02-09 12:05:00",0.04215,158385.62763,156833.50811,1552.11952
1518174301,"2018-02-09 11:05:01",0.0423,158203.37185,156921.25233,1282.11952
1518170701,"2018-02-09 10:05:01",0.04226,158696.03259,157375.77538,1320.2572
1518167101,"2018-02-09 09:05:01",0.04233,158986.94631,157703.13561,1283.8107
1518163500,"2018-02-09 08:05:00",0.04224,161004.24848,159720.43778,1283.8107
1518159902,"2018-02-09 07:05:02",0.04229,161911.26129,160627.44053,1283.82076
1518156300,"2018-02-09 06:05:00",0.04236,161818.8931,160535.65867,1283.23444
1518152700,"2018-02-09 05:05:00",0.04265,162055.57927,160688.12614,1367.45313
1518149101,"2018-02-09 04:05:01",0.04263,161244.41218,159876.63353,1367.77865
1518145501,"2018-02-09 03:05:01",0.04259,161141.34462,159774.34597,1366.99865
1518141901,"2018-02-09 02:05:01",0.04273,161420.25856,160047.80483,1372.45373
1518138302,"2018-02-09 01:05:02",0.0427,161033.60287,159661.14914,1372.45373
1518134701,"2018-02-09 00:05:01",0.04317,159547.92126,158184.75058,1363.17068
1518131101,"2018-02-08 23:05:01",0.04316,160428.5125,159075.96091,1352.55159
1518127501,"2018-02-08 22:05:01",0.04319,161794.9153,160408.5136,1386.4017
1518123902,"2018-02-08 21:05:02",0.04297,161950.94381,160648.23605,1302.70776
1518120301,"2018-02-08 20:05:01",0.04317,161454.30589,160155.79018,1298.51571
1518116701,"2018-02-08 19:05:01",0.0429,163081.38379,161808.77934,1272.60445
1518113101,"2018-02-08 18:05:01",0.04281,161252.95045,159906.18443,1346.76601
1518109501,"2018-02-08 17:05:01",0.04281,160338.46848,158996.73246,1341.73601
1518105900,"2018-02-08 16:05:00",0.04284,160405.39921,159063.6632,1341.73601
1518102301,"2018-02-08 15:05:01",0.04293,160422.66397,159083.8348,1338.82917
1518098700,"2018-02-08 14:05:00",0.04303,159179.10919,157842.20477,1336.90442
1518095100,"2018-02-08 13:05:00",0.04298,158826.29328,157492.90522,1333.38807
1518091500,"2018-02-08 12:05:00",0.04295,158636.55479,157303.81153,1332.74326
1518087900,"2018-02-08 11:05:00",0.04298,158631.72503,157298.88079,1332.84424
1518084300,"2018-02-08 10:05:00",0.04306,158827.38368,157494.95838,1332.42531
1518080701,"2018-02-08 09:05:01",0.04335,157748.59307,156416.26777,1332.32531
1518077102,"2018-02-08 08:05:02",0.04361,157434.52049,156084.16452,1350.35598
1518073500,"2018-02-08 07:05:00",0.04395,159567.93149,158314.46478,1253.46671
1518069900,"2018-02-08 06:05:00",0.04402,160595.09636,159338.66549,1256.43087
1518066301,"2018-02-08 05:05:01",0.04396,160975.14933,159350.55115,1624.59819
1518062701,"2018-02-08 04:05:01",0.04387,161562.24537,159937.84734,1624.39803
1518059100,"2018-02-08 03:05:00",0.04383,161557.47588,159933.07785,1624.39803
1518055500,"2018-02-08 02:05:00",0.0434,161960.37148,160407.16125,1553.21023
1518051901,"2018-02-08 01:05:01",0.04333,162501.66085,161128.06544,1373.59541
1518048301,"2018-02-08 00:05:01",0.04321,162165.90895,160811.83407,1354.07488
1518044701,"2018-02-07 23:05:01",0.04321,161798.67799,160543.08828,1255.58971
1518041102,"2018-02-07 22:05:02",0.04318,160415.03353,159162.06085,1252.97268
